epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
118,2469.71,0.35966,0.24317,0.80863,0.98229,0.99144,0.98787,0.96293,0.24341,0.19083,0.76603,0.00028475,0.00028475,0.00028475
119,2484.38,0.3608,0.24068,0.80702,0.98304,0.9898,0.98724,0.96224,0.24266,0.19239,0.76584,0.0002765,0.0002765,0.0002765
120,2500.07,0.35564,0.23713,0.80739,0.98388,0.98992,0.98755,0.96424,0.23997,0.19156,0.76531,0.00026825,0.00026825,0.00026825
121,2516.28,0.36055,0.24349,0.80816,0.98315,0.98992,0.98844,0.96342,0.24468,0.19167,0.76639,0.00026,0.00026,0.00026
122,2533.23,0.35676,0.23924,0.80979,0.98308,0.98919,0.98852,0.96331,0.24214,0.1879,0.76632,0.00025175,0.00025175,0.00025175
123,2549.74,0.35863,0.24236,0.80738,0.98224,0.98873,0.98853,0.96447,0.24069,0.18687,0.7661,0.0002435,0.0002435,0.0002435
124,2566.49,0.35448,0.23869,0.80932,0.98361,0.98922,0.98727,0.9641,0.23824,0.18999,0.76567,0.00023525,0.00023525,0.00023525
125,2584.97,0.35214,0.23909,0.80899,0.9842,0.98986,0.98805,0.96532,0.24323,0.18708,0.76604,0.000227,0.000227,0.000227
126,2603.56,0.34776,0.23193,0.80877,0.98417,0.98942,0.98928,0.96623,0.24082,0.18494,0.76607,0.00021875,0.00021875,0.00021875
127,2622.1,0.3502,0.2336,0.80801,0.98409,0.98941,0.98874,0.96439,0.23716,0.18245,0.76603,0.0002105,0.0002105,0.0002105
128,2641.15,0.34465,0.23126,0.80812,0.98331,0.98777,0.98941,0.96719,0.23747,0.18569,0.76552,0.00020225,0.00020225,0.00020225
129,2660.3,0.35027,0.23284,0.80854,0.98417,0.98924,0.98885,0.96492,0.24099,0.18541,0.76568,0.000194,0.000194,0.000194
130,2679.15,0.35153,0.23407,0.80858,0.98428,0.98921,0.989,0.96507,0.2378,0.18496,0.76583,0.00018575,0.00018575,0.00018575
131,2698.38,0.34734,0.23077,0.80759,0.9824,0.98972,0.98884,0.96464,0.23845,0.18852,0.76538,0.0001775,0.0001775,0.0001775
132,2713.83,0.34792,0.22964,0.80878,0.98236,0.98865,0.98796,0.96452,0.23805,0.18943,0.76544,0.00016925,0.00016925,0.00016925
133,2728.83,0.34278,0.2301,0.80811,0.98395,0.98992,0.98836,0.96369,0.23732,0.18433,0.765,0.000161,0.000161,0.000161
134,2759.77,0.34287,0.22895,0.80774,0.98415,0.98832,0.98915,0.96585,0.23805,0.18652,0.76517,0.00015275,0.00015275,0.00015275
135,2792.28,0.34478,0.23008,0.80707,0.98384,0.98972,0.98912,0.96476,0.23881,0.18346,0.76578,0.0001445,0.0001445,0.0001445
136,2810.65,0.33876,0.22508,0.80679,0.98352,0.98836,0.9882,0.96478,0.23663,0.18437,0.76525,0.00013625,0.00013625,0.00013625
137,2826.81,0.34144,0.22826,0.80676,0.98219,0.98601,0.9882,0.9657,0.23733,0.18863,0.76523,0.000128,0.000128,0.000128
138,2843.11,0.34253,0.22744,0.8069,0.98452,0.98814,0.98712,0.96499,0.23301,0.18776,0.76493,0.00011975,0.00011975,0.00011975
